text,sentiment_real,sentiment_previsto
@southwestair early frontrunner best airline! #oscars2016,positive,positive
@usairways flt ewr cancelled flightled yet flts nyc usairways still flying?,negative,negative
@jetblue going bdl dca flights yesterday today?! every single one getting delayed?,negative,negative
"@jetblue depart washington, d.c.??",neutral,neutral
@jetblue probably find them. ticket #s there?,negative,negative
@united still waiting hear back. wallet stolen one planes would appreciate resolution,negative,negative
@united yes flight rebooked. i'm losing trust want get anywhere time.,negative,negative
@jetblue thank ! paris ? could arrange something ?,neutral,neutral
"@united 100% sure, however ticket included one checked bag, therefore charge extra completely unanticipated.",negative,negative
"@usairways great crew flight 504 phx yvr tonight! friendly, efficient. awesome job.",positive,positive
@usairways i've hold change date ticket 3 hours. someone please assist me? unacceptable.,negative,negative
@southwestair dm'd,neutral,neutral
@southwestair already signed up! thanks! looking forward trying southwest experience.,positive,positive
@southwestair 3472,neutral,negative
@usairways oh well. i'll get cancun eventually.,positive,negative
@usairways flight 837 passengers stuck plane philly. gangway? can't hear pilot,negative,negative
"@americanair no, already waited hour wanted get home.",negative,negative
@southwestair thanks quick response. call daily wait 5 days.,positive,negative
@jetblue dont enough money parking garage fault im paying 10mins 3hrs,negative,negative
@jetblue 266 lgb sunny cal http://t.co/v015pk7dsi,neutral,neutral
@americanair @yvonneokaka get personal response apology crew's forgotten load baggage onto flight?,negative,negative
"@jetblue no, info. infuriated way previous rep treated me. possibly work jetblue rep?",negative,negative
@united money sucking airline terrible terrible customer service,negative,negative
@americanair btwn gate a8 &amp; a15 lost diamond earring #dayjustgotworse! pls maintenance look it!! http://t.co/uiesr3ghho,neutral,negative
"@usairways #shoutout 2 kristie(sp?) gate4 @ pvd today. #rockstar, tremendous help tough situation. #promotethatgirl",positive,positive
"@usairways family, friends colleagues never fly usair again. bad weather happens. good airlines seem communicate better.",negative,negative
"@jetblue landed, thank anyway. btw, flight staff flight 654 wonderful despite full day heavy load.",positive,positive
@jetblue @airbusintheus a320 landing @aruba_airport february 2014. #avgeek #warmweather https://t.co/kaej9g0chd,neutral,neutral
"@southwestair ahhhh! sorry, followed.",neutral,neutral
@americanair ticket poor gesture goodwill (for missed trip) top status flyer - may next time (aa91 lhr-ord 2/16),negative,negative
"@usairways : got get there, we've got excuses! #usairwaysfail",negative,negative
@jetblue i'll pass along advice. guys rock!!,positive,positive
@virginamerica bought tix atx - dallas route - thanks adding that! love yr airline &amp; yr website best transactional site ever,positive,negative
@jetblue haha need apologize 😁 i'll flight booking problems sooner late flightr. love jetblue,positive,negative
@southwestair hold 2 1/2 hrs. can't get 2 airport 4 flight icy country backroads! help pls? human answer? #bna,negative,negative
"@southwestair 14 hours???? sorry get it. oh well. screw weekend az right? eat hotel, problem.",negative,negative
@united wonder cabin filthy. #badservice,negative,negative
"@usairways operate flights without maintenance issues? flights in/out dca cancelled flighted, getting old. update fleet pls!",negative,negative
@united i'm sure business go else airline travel. name kathryn sotelo,negative,negative
"@usairways: relied us airways, mistake. awful customer experience.",negative,negative
@americanair flight dfw lit way pdx tomorrow cancelled flighted. help me?,negative,negative
@united poor customer service. think befor flight booking problems another united flight.,negative,negative
@united joni great job flight 5653 lax. thanks great flight.,positive,positive
@united broken luggage mild case food poisoning ua5 lhr-iah. email this?,negative,negative
@southwestair traditionally used sledge hammer - low $ taking share driving | scalpel approach data science #anamarketers,neutral,neutral
@southwestair thanks info quick response!,positive,positive
"@jetblue great thank you, lets hope so! could please notify flight 2302 leaves jfk? thank",positive,positive
@united inadequate accident?,negative,negative
@united coupled self-service policies/cost cutting exacerbates noted issues. (3/3),negative,negative
@americanair can't unload flight #3322 jetway broken. #steps #planb? #waiting nearly hour,negative,negative
@united get names...dallas flight chicago,neutral,negative
@jetblue get honest update departure flite 454. plane infant children,negative,negative
"@virginamerica lost luggage 4 days ago flight vx 112 lax iad &amp; i'm calling every day, response.please give back stuff",negative,negative
@americanair ahhhh silence golden now. tops all. anyone get fired?,negative,negative
@united landed boston 9 last night. 15 hours traveling rough tho.,negative,negative
@usairways nice touch using first name. intimate. i'll filing claim soon reimbursed. us airways day!,positive,negative
"@united also, mere fact go online issue statement vice calling talking directly one good example.",negative,negative
@jetblue will. thank you!,positive,positive
@usairways us 893. gate open 50 mins waiting. great way finish 18 hour delayed arrival!!,negative,negative
@jetblue flight 705. ewr fll,neutral,negative
@southwestair i've hold customer service hour. help?!,negative,negative
"@united hey, missed outbound flight - still use return ticket?",neutral,negative
@jetblue alright hope. jetblue app showing change seats online shows a320. want surprises,neutral,negative
@southwestair way receive refund trip cancelled flight online instead calling? phone lines super busy.,negative,negative
@united thanks! makes sense. annoying can't determined better.,negative,negative
@usairways would rather plane get exposed nasty contagious virus work wth get flight changed late flightr date,negative,negative
@americanair 3127. landed lit.,neutral,negative
@southwestair gate agent re-routed impossible itinerary find new airline get us home. super bummed,negative,negative
@jetblue apparently pilot made announcement engine trouble losing fuel quickly.,negative,negative
@virginamerica brilliant brisk boston cue vx363 http://t.co/rmznivgmg6,neutral,neutral
@americanair stiiiil waiting. please respond flight leaves 2 1/2 hrs,negative,negative
"@southwestair need cancelled flight one leg flight, can't seem online. hold phone 10 minutes. help?",negative,negative
"@americanair cancelled flights flight, send email, text call. i'm stranded louisville.",negative,negative
@jetblue bag supposedly boston,negative,negative
@united customer care email phone rep speak with? many issues can't placed 2000 characters?,negative,negative
@united lounge tells us pillows grandma one ladies opens closet see 2 right there. #unitedlies,negative,neutral
@americanair beyond redemption. jfk. baggage claim looks like luggage warehouse,negative,negative
@virginamerica policy flying surgery?,neutral,neutral
@united #1758 going 40 min waiting plane vacate gate. #findanothergate,negative,negative
@americanair luggage forgot...#mia.....he oscar😄💝💝💝,negative,negative
@jetblue i'm #makingloveoutofnothingatall #brandloveaffair #lax https://t.co/kdhruf54sw,positive,neutral
"@southwestair assigned seating, cousin &amp; probably can't sit together flight tomorrow.. thanks.",neutral,negative
@usairways flight cost $800 happens? fly @united problems. come us 4-5 times...,negative,negative
@usairways u lose flight plan! ur flight crew faa timed out! thx havin us sit tarmac hr! #pathetic,negative,negative
@united was. given up.,negative,negative
"@americanair fyi twice i've tried ""we'll call someone free"" thing. times called, picked up, hung up.",negative,negative
"@americanair - mean flights going buffalo locations, care safety?",negative,negative
